Star,TIC,Sectors,Pmix,numax (microHz),RA,DEC,SpT,V,H,K,Diam,Err,Reference,Instrument
HD 1671,288294358,17,0.9620000123977661,426.098,00 21 07.262, +37 58 07.01,F5III,5.153,4.218,4.069,0.6,0.006,"Ligi et al. 2016, A&A, 586, A94",VEGA
HD 4614,445258206,"17, 18, 24",1.0,2953.201,00 49 06.223, +57 48 54.57,F9V+M0V,3.44,2.086,1.988,1.6230000000000002,0.004,"Boyajian et al. 2012, ApJ, 746, 101",CLASSIC
HD 5015,285544488,"17, 18, 24",1.0,1294.598,00 53 04.193, +61 07 26.28,F8V,4.789,3.681,3.638,0.865,0.01,"Boyajian et al. 2012, ApJ, 746, 101",CLASSIC
HD 9826,189576919,17,1.0,1336.345,01 36 47.846, +41 24 20.10,F8V,4.093,2.957,2.859,1.161,0.027000000000000003,"Ligi et al. 2016, A&A, 586, A94",VEGA
HD 10697,456905162,17,0.9990000128746033,915.421,01 44 55.827, +20 04 59.28,G5IV,6.277,4.678,4.601,0.547,0.013,"Boyajian et al. 2013, ApJ, 771, 40",CLASSIC
HD 11964,24978373,"3, 30, 30",1.0,766.246,01 57 09.650,-10 14 32.38,G8IV,6.414,4.637,4.4910000000000005,0.607,0.015,"Boyajian et al. 2013, ApJ, 771, 40",CLASSIC
HD 16765,35761475,"4, 31, 31",0.48100000619888306,2231.017,02 41 13.981,-00 41 44.29,F7IV,5.751,4.642,4.506,0.4970000000000001,0.006999999999999999,"Boyajian et al. 2013, ApJ, 771, 40",CLASSIC
HD 16895,302158903,18,1.0,2057.354,02 44 11.973, +49 13 42.37,F7V,4.099,2.863,2.697,1.103,0.009000000000000001,"Boyajian et al. 2012, ApJ, 746, 101",CLASSIC
HD 19373,116988032,18,1.0,1658.789,03 09 03.870, +49 36 47.94,G0V,4.045,2.875,2.7230000000000003,1.246,0.008,"Boyajian et al. 2012, ApJ, 746, 101",CLASSIC
HD 19994,49845357,"4, 31",1.0,1033.992,03 12 46.442,-01 11 45.84,F8V,5.065,3.768,3.748,0.7609999999999999,0.011,"Ligi et al. 2016, A&A, 586, A94",VEGA
