Star,TIC,Sectors,RA,DEC,SpT,V,H,K,Diam,Err,Reference,Instrument
HD 166,238432056,17,00 06 36.743, +29 01 17.56,K0V,6.065,4.629,4.314,0.624,0.009000000000000001,"Boyajian et al. 2013, ApJ, 771, 40",CLASSIC
GJ 15 A,440109725,17,00 18 22.887, +44 01 22.65,M1.0V,8.125,4.475,4.018,1.005,0.005,"Boyajian et al. 2012, ApJ, 757, 112",CLASSIC
HD 1671,288294358,17,00 21 07.262, +37 58 07.01,F5III,5.153,4.218,4.069,0.6,0.006,"Ligi et al. 2016, A&A, 586, A94",VEGA
HD 3360,240669906,17,00 36 58.273, +53 53 48.69,B2IV,3.671,4.248,4.247,0.311,0.01,"Maestro et al. 2013, MNRAS, 434, 1321",PAVO
HD 3651,434210589,17,00 39 21.872, +21 15 02.41,K0V,5.875,4.064,3.999,0.722,0.006999999999999999,"Ligi et al. 2016, A&A, 586, A94",VEGA
HD 4614,445258206,"17, 18, 24",00 49 06.223, +57 48 54.57,F9V+M0V,3.44,2.086,1.988,1.6230000000000002,0.004,"Boyajian et al. 2012, ApJ, 746, 101",CLASSIC
HD 5015,285544488,"17, 18, 24",00 53 04.193, +61 07 26.28,F8V,4.789,3.681,3.638,0.865,0.01,"Boyajian et al. 2012, ApJ, 746, 101",CLASSIC
HD 5448,432698066,17,00 56 45.220, +38 29 57.81,A5V,3.857,3.652,3.636,0.708,0.013,"Maestro et al. 2013, MNRAS, 434, 1321",PAVO
HD 6210,52264484,"18, 24",01 04 19.452, +61 34 48.76,F6V,5.835,4.794,4.445,0.52,0.006,"Boyajian et al. 2013, ApJ, 771, 40",CLASSIC
HD 6582,252191219,"17, 18",01 08 16.395, +54 55 13.23,G5V,5.157,3.597,3.505,0.972,0.009000000000000001,"Boyajian et al. 2012, ApJ, 746, 101",CLASSIC
HD 9826,189576919,17,01 36 47.846, +41 24 20.10,F8V,4.093,2.957,2.859,1.161,0.027000000000000003,"Ligi et al. 2016, A&A, 586, A94",VEGA
HD 10476,113710966,17,01 42 29.778, +20 16 07.36,K1V,5.235,3.391,3.285,1.0,0.004,"Boyajian et al. 2013, ApJ, 771, 40",CLASSIC
HD 10697,456905162,17,01 44 55.827, +20 04 59.28,G5IV,6.277,4.678,4.601,0.547,0.013,"Boyajian et al. 2013, ApJ, 771, 40",CLASSIC
HD 10780,373694425,"18, 24, 25",01 47 44.883, +63 51 09.07,K0V,5.6160000000000005,4.133,4.0139999999999985,0.763,0.019,"Boyajian et al. 2012, ApJ, 746, 101",CLASSIC
HD 11964,24978373,"3, 30, 30",01 57 09.650,-10 14 32.38,G8IV,6.414,4.637,4.4910000000000005,0.607,0.015,"Boyajian et al. 2013, ApJ, 771, 40",CLASSIC
GJ 105,278962915,"4, 31",02 36 04.982, +06 53 14.00,K0V,5.815,3.657,3.4810000000000003,1.03,0.006999999999999999,"Boyajian et al. 2012, ApJ, 757, 112",CLASSIC
HD 16765,35761475,"4, 31, 31",02 41 13.981,-00 41 44.29,F7IV,5.751,4.642,4.506,0.4970000000000001,0.006999999999999999,"Boyajian et al. 2013, ApJ, 771, 40",CLASSIC
HD 16895,302158903,18,02 44 11.973, +49 13 42.37,F7V,4.099,2.863,2.697,1.103,0.009000000000000001,"Boyajian et al. 2012, ApJ, 746, 101",CLASSIC
HD 19373,116988032,18,03 09 03.870, +49 36 47.94,G0V,4.045,2.875,2.7230000000000003,1.246,0.008,"Boyajian et al. 2012, ApJ, 746, 101",CLASSIC
HD 19994,49845357,"4, 31",03 12 46.442,-01 11 45.84,F8V,5.065,3.768,3.748,0.7609999999999999,0.011,"Ligi et al. 2016, A&A, 586, A94",VEGA
HD 20630,343813545,"4, 31, 31",03 19 21.694, +03 22 12.60,G5Vvar,4.842,3.039,2.957,0.936,0.025,"Boyajian et al. 2012, ApJ, 746, 101",CLASSIC
HD 21019,9967949,"4, 31",03 23 17.697,-07 47 38.57,G2V,6.215,4.579,4.417,0.606,0.015,"Boyajian et al. 2013, ApJ, 771, 40",CLASSIC
HD 22484,649766486,31,03 36 52.381, +00 24 05.43,F9V,4.29,2.9160000000000004,2.835,1.081,0.014,"Boyajian et al. 2012, ApJ, 746, 101",CLASSIC
