Star,Main ID,TIC,Sectors,Pmix,ATL numax (muHz),TIC numax (muHz),RA,DEC,SpT,V,H,K,Diam,Err,Reference,Instrument,Fast,Comments
GJ 412A,BD+44 2051,252803603,21,,,,11 05 28.578, +43 31 36.39,M1.0V,8.78,5.002,4.769,0.764,0.017,"Boyajian et al. 2012, ApJ, 757, 112",CLASSIC,False,Nothing of note.
GJ 436,Ross 905,138819293,22,,,,11 42 11.0933,+26 42 23.658,M3V,10.61299991607666,6.318999767303468,6.072999954223633,0.417,0.013,"K. von Braun, et al., The Astrophysical Journal, 753, 171 (2012).",CLASSIC,False,Nothing of note.
GJ 514,BD+11 2576,404519959,23,,,,13 29 59.7856,+10 22 37.784,M1.0Ve,9.029000282287598,5.300000190734863,5.035999774932861,0.753,0.052000000000000005,Berger et al. 2006,CLASSIC,False,Nothing of note.
GJ 649,BD+25 3173,236743275,25,,,,16 58 08.8497,+25 44 38.971,M2V,9.654999732971193,5.864999771118164,5.624000072479248,0.484,0.012,"K. von Braun, et al., Monthly Notices of the Royal Astronomical Society, 438, 2413 (2014).",CLASSIC,False,Nothing of note.
GJ 687,BD+68 946,233193964,"14, 15, 16, 17, 19, 20, 22, 23, 24, 25, 26",,,,17 36 25.945, +68 20 22.01,M3.5Vvar,9.151,4.769999980926514,4.547999858856201,1.009,0.077,Berger et al. 2006,CLASSIC,False,Very large and inconsistent spread across sectors.
GJ 687,BD+68 946,233193964,"14, 15, 16, 17, 19, 20, 22, 23, 24, 25, 26",,,,17 36 25.945, +68 20 22.01,M3.5Vvar,9.151,4.766,4.548,0.8590000000000001,0.014,"Boyajian et al. 2012, ApJ, 757, 112",CLASSIC,False,Very large and inconsistent spread across sectors.
GJ 876,BD-15 6290,188580272,"2, 29",,,,22 53 16.7323,-14 15 49.303,M3.5V,10.19200038909912,5.348999977111816,5.010000228881836,0.746,0.009000000000000001,"K. von Braun, et al., Monthly Notices of the Royal Astronomical Society, 438, 2413 (2014).",CLASSIC,False,Doubling of sector 29.
GJ 876,BD-15 6290,188580272,29,,,,22 53 16.7323,-14 15 49.303,M3.5V,10.19200038909912,5.348999977111816,5.010000228881836,0.746,0.009000000000000001,"K. von Braun, et al., Monthly Notices of the Royal Astronomical Society, 438, 2413 (2014).",CLASSIC,True,Doubling of sector 29.
HD 166,HD 166,238432056,17,,,4822.048763183031,00 06 36.743, +29 01 17.56,K0V,6.065,4.629,4.314,0.624,0.009000000000000001,"Boyajian et al. 2013, ApJ, 771, 40",CLASSIC,False,Was in SSP project survey.Nothing of note.
HD 203,HD 203,229012143,"2, 29",0.5830000042915344,1783.689,1516.4876631764953,00 06 50.0865,-23 06 27.147,F3V,6.172999858856201,5.330999851226807,5.239999771118164,0.4920000000000001,0.032,"M. Simon and G.H. Schaefer, The Astrophysical Journal, 743, 158 (2011).",CLASSIC,False,ATL estimate seems off.
HD 1326,V* GX And,440109725,17,,,,00 18 22.887, +44 01 22.65,M1.0V,8.125,4.475,4.018,1.005,0.005,"Boyajian et al. 2012, ApJ, 757, 112",CLASSIC,False,Nothing of note.
HD 1326,V* GX And,440109725,17,,,,00 18 22.887, +44 01 22.65,M1.0V,8.125,4.47599983215332,4.019999980926514,0.988,0.016,Berger et al. 2006,CLASSIC,False,Nothing of note.
HD 1326,V* GX And,440109725,17,,,,00 18 22.8849,+44 01 22.637,M1.0V,8.125,4.47599983215332,4.019999980926514,1.005,0.005,"A.W. Howard, et al., The Astrophysical Journal, 794, 51 (2014).",CLASSIC,False,Nothing of note.
