Star,RA,DEC,SpT,V,H,K,Diam,Err,Reference,Instrument
HD 166,00 06 36.743, +29 01 17.56,K0V,6.065,4.629,4.314,0.624,0.009,"Boyajian et al. 2013, ApJ, 771, 40",CLASSIC
HD 1367,00 17 47.700, +01 41 19.37,K0II,6.177,4.326,4.225,0.754,0.014,"Ligi et al. 2016, A&A, 586, A94",VEGA
GJ 15 A,00 18 22.887, +44 01 22.65,M1.0V,8.125,4.475,4.018,1.005,0.005,"Boyajian et al. 2012, ApJ, 757, 112",CLASSIC
HD 1671,00 21 07.262, +37 58 07.01,F5III,5.153,4.218,4.069,0.6,0.006,"Ligi et al. 2016, A&A, 586, A94",VEGA
HD 3360,00 36 58.273, +53 53 48.69,B2IV,3.671,4.248,4.247,0.311,0.01,"Maestro et al. 2013, MNRAS, 434, 1321",PAVO
HD 3651,00 39 21.872, +21 15 02.41,K0V,5.875,4.064,3.999,0.722,0.007,"Ligi et al. 2016, A&A, 586, A94",VEGA
GJ 33,00 48 23.038, +05 16 49.75,K2V,5.738,3.722,3.683,0.868,0.004,"Boyajian et al. 2012, ApJ, 757, 112",CLASSIC
HD 4614,00 49 06.223, +57 48 54.57,F9V+M0V,3.44,2.086,1.988,1.623,0.004,"Boyajian et al. 2012, ApJ, 746, 101",CLASSIC
HD 5015,00 53 04.193, +61 07 26.28,F8V,4.789,3.681,3.638,0.865,0.01,"Boyajian et al. 2012, ApJ, 746, 101",CLASSIC
HD 5448,00 56 45.220, +38 29 57.81,A5V,3.857,3.652,3.636,0.708,0.013,"Maestro et al. 2013, MNRAS, 434, 1321",PAVO
HD 6210,01 04 19.452, +61 34 48.76,F6V,5.835,4.794,4.445,0.52,0.006,"Boyajian et al. 2013, ApJ, 771, 40",CLASSIC
HD 6582,01 08 16.395, +54 55 13.23,G5V,5.157,3.597,3.505,0.972,0.009,"Boyajian et al. 2012, ApJ, 746, 101",CLASSIC
HD 9826,01 36 47.846, +41 24 20.10,F8V,4.093,2.957,2.859,1.161,0.027,"Ligi et al. 2016, A&A, 586, A94",VEGA
HD 10476,01 42 29.778, +20 16 07.36,K1V,5.235,3.391,3.285,1,0.004,"Boyajian et al. 2013, ApJ, 771, 40",CLASSIC
HD 10697,01 44 55.827, +20 04 59.28,G5IV,6.277,4.678,4.601,0.547,0.013,"Boyajian et al. 2013, ApJ, 771, 40",CLASSIC
HD 10780,01 47 44.883, +63 51 09.07,K0V,5.616,4.133,4.014,0.763,0.019,"Boyajian et al. 2012, ApJ, 746, 101",CLASSIC
HD 11964,01 57 09.650,-10 14 32.38,G8IV,6.414,4.637,4.491,0.607,0.015,"Boyajian et al. 2013, ApJ, 771, 40",CLASSIC
GJ 105,02 36 04.982, +06 53 14.00,K0V,5.815,3.657,3.481,1.03,0.007,"Boyajian et al. 2012, ApJ, 757, 112",CLASSIC
HD 16765,02 41 13.981,-00 41 44.29,F7IV,5.751,4.642,4.506,0.497,0.007,"Boyajian et al. 2013, ApJ, 771, 40",CLASSIC
HD 16895,02 44 11.973, +49 13 42.37,F7V,4.099,2.863,2.697,1.103,0.009,"Boyajian et al. 2012, ApJ, 746, 101",CLASSIC
HD 19373,03 09 03.870, +49 36 47.94,G0V,4.045,2.875,2.723,1.246,0.008,"Boyajian et al. 2012, ApJ, 746, 101",CLASSIC
HD 19994,03 12 46.442,-01 11 45.84,F8V,5.065,3.768,3.748,0.761,0.011,"Ligi et al. 2016, A&A, 586, A94",VEGA
HD 20630,03 19 21.694, +03 22 12.60,G5Vvar,4.842,3.039,2.957,0.936,0.025,"Boyajian et al. 2012, ApJ, 746, 101",CLASSIC
HD 21019,03 23 17.697,-07 47 38.57,G2V,6.215,4.579,4.417,0.606,0.015,"Boyajian et al. 2013, ApJ, 771, 40",CLASSIC
HD 22484,03 36 52.381, +00 24 05.43,F9V,4.29,2.916,2.835,1.081,0.014,"Boyajian et al. 2012, ApJ, 746, 101",CLASSIC
HD 24398,03 54 07.932, +31 53 01.19,B1Ib,2.872,2.621,2.603,0.542,0.007,"Challouf et al. 2014, A&A, 570, A104",VEGA
GJ 166A,04 15 16.320,-07 39 10.34,K1V,4.419,2.594,2.498,1.504,0.006,"Boyajian et al. 2012, ApJ, 757, 112",CLASSIC
HD 30652,04 49 50.403, +06 57 40.93,F6V,3.183,1.757,1.6,1.526,0.004,"Boyajian et al. 2012, ApJ, 746, 101",CLASSIC
HD 32630,05 06 30.910, +41 14 04.27,B3V,3.161,3.761,3.857,0.453,0.012,"Maestro et al. 2013, MNRAS, 434, 1321",PAVO
HD 34411,05 19 08.481, +40 05 56.59,G0V,4.684,3.154,3.038,0.981,0.015,"Boyajian et al. 2012, ApJ, 746, 101",CLASSIC
HD 35468,05 25 07.863, +06 20 58.95,B2III,1.643,2.357,2.375,0.715,0.005,"Challouf et al. 2014, A&A, 570, A104",VEGA
GJ 205,05 31 27.396,-03 40 38.02,M1.5V,7.968,4.05,3.9,0.943,0.004,"Boyajian et al. 2012, ApJ, 757, 112",CLASSIC
HD 38858,05 48 34.950,-04 05 40.42,G4V,6.193,4.595,4.405,0.572,0.009,"Boyajian et al. 2013, ApJ, 771, 40",CLASSIC
HD 39587,05 54 23.002, +20 16 34.45,G0V,4.394,3.19,2.996,1.051,0.009,"Boyajian et al. 2012, ApJ, 746, 101",CLASSIC
HD 48737,06 45 17.373, +12 53 43.90,F5IV,3.336,1.811,1.688,1.401,0.009,"Boyajian et al. 2012, ApJ, 746, 101",CLASSIC
HD 56537,07 18 05.606, +16 32 25.53,A3V,3.572,3.495,3.535,0.835,0.013,"Boyajian et al. 2012, ApJ, 746, 101",CLASSIC
HD 58946,07 29 06.712, +31 47 04.36,F0V,4.169,3.156,2.978,0.853,0.014,"Boyajian et al. 2012, ApJ, 746, 101",CLASSIC
HD 69897,08 20 03.860, +27 13 03.81,F6V,5.124,3.942,3.868,0.706,0.013,"Boyajian et al. 2013, ApJ, 771, 40",CLASSIC
HD 75732,08 52 35.794, +28 19 50.96,G8V,5.942,4.265,4.015,0.724,0.012,"Ligi et al. 2016, A&A, 586, A94",VEGA
GJ 338A,09 14 22.982, +52 41 12.53,M0V,7.631,3.987,3.988,0.871,0.015,"Boyajian et al. 2012, ApJ, 757, 112",CLASSIC
GJ 338B,09 14 24.856, +52 41 11.84,M0V,7.701,4.043,4.136,0.856,0.016,"Boyajian et al. 2012, ApJ, 757, 112",CLASSIC
HD 81937,09 31 31.704, +63 03 42.75,F0IV,3.644,3.025,2.864,1.133,0.009,"Boyajian et al. 2012, ApJ, 746, 101",CLASSIC
HD 82328,09 32 51.518, +51 40 38.47,F6IV,3.171,2.079,1.97,1.632,0.005,"Boyajian et al. 2012, ApJ, 746, 101",CLASSIC
HD 82885,09 35 39.592, +35 48 36.65,G8IV-V,5.388,3.718,3.69,0.821,0.013,"Boyajian et al. 2012, ApJ, 746, 101",CLASSIC
HD 86728,10 01 00.726, +31 55 26.22,G1V,5.376,4.04,3.821,0.771,0.012,"Boyajian et al. 2012, ApJ, 746, 101",CLASSIC
GJ 380,10 11 22.186, +49 27 15.31,K8V,6.598,3.298,2.962,1.225,0.009,"Boyajian et al. 2012, ApJ, 757, 112",CLASSIC
HD 89449,10 19 44.197, +19 28 15.78,F6IV,4.777,3.944,4.02,0.731,0.03,"Maestro et al. 2013, MNRAS, 434, 1321",PAVO
HD 90839,10 30 37.596, +55 58 50.15,F8V,4.818,3.758,3.644,0.794,0.014,"Boyajian et al. 2012, ApJ, 746, 101",CLASSIC
