HD,SpType
5,G2/3 V            
6,K0 III            
7,G8/K0 III         
8,F8 V              
9,K2 III            
10,G8/K0 V          
11,G5              
12,G6 III          
13,K0 III          
18,G8/K0 (III)       
19,F5/6 V            
20,F2 V              
21,K1 III            
22,K1 III           
23,G0 V             
24,G0 V            
27,G8 III            
28,K0 III            
29,K3 (III)          
30,F2 V              
31,B9 V              
32,G8 III/IV         
33,F7/8 V           
34,F3/5 V           
35,K2 III          
43,K0 III            
44,G5 (V)            
45,F5 V              
46,K0 III            
47,K1 IV/V           
48,K0 III            
49,G3 V              
50,A9 V              
51,F7/8 V            
52,G8 IV             
53,A1 VS           
54,K2 III          
55,K5 V            
61,K0 III            
62,K3 III            
63,F6 V              
64,F2/3 V            
65,K0 III            
66,M3 III           
67,G5 V            
68,K3 III          
69,K0 III          
74,K2/3 V            
75,F7 V              
76,G8 III/IV         
77,G5 V              
78,G5 V             
79,K3/4 III         
80,K0 III          
81,A3/5 II/III     
88,K1 III            
89,G8/K0 (III)       
90,F3/5 V            
91,A9/F0 V           
92,G5 (IV)         
93,F2/5            
95,K2 III            
96,G6/8 V            
97,G5 V              
102,G3 V              
103,F6 V              
104,K0 III            
105,G0 V             
106,F6 V            
107,B9 V            
115,F0 V              
116,G0 V              
117,F2 V              
118,K3 III            
119,M1/2             
120,G8 IV/V         
121,G5/6 V          
122,F8 V            
127,K1 III            
128,G8/K0 (III)       
129,G3 V              
130,K1 (III)         
131,F2/3 V           
132,G2/5             
133,A0/1 V          
137,F6/7 V            
138,K0 III            
139,M3/4 III          
140,F2 V              
141,B9 V              
142,F7 V             
143,F7 V            
146,K1 III            
147,G8/K1 (III)       
148,F6/7 V            
149,K5                
150,K2 III/IV         
151,M1 III            
152,F5 IV/V         
155,G8 III            
156,F2 IV             
157,B9 V              
158,G6/8              
159,K2 (III)         
160,F3 IV           
161,K3 III          
169,F0 V              
170,G8 V              
171,F2 V              
172,K1/2 (III)      
173,F5 V            
176,G0/1 V            
177,F8 V              
178,M5/6 III          
179,K1 III            
180,M3/4 III          
181,F6 V             
182,A0/1 IV          
183,F6 V            
184,F5 V            
188,F3/5 V            
189,F7 V              
190,G8 III            
191,K1/2 IIICNIB/II 
198,F5 V              
199,F6 V              
200,F7/8 V            
201,G8 (IV)           
202,G2/3 V            
203,F2 IV             
207,G6 IV             
208,G1 V              
209,G8 IV             
210,G8 (IV)           
211,F6 V              
212,F2/3 V            
213,K0 III            
214,K1 (III)         
215,F3 V             
216,F5 V             
217,K3 III          
218,K5P BA          
223,M3 III            
224,K0/1 (III)        
226,G2 V              
227,F3 IV/V          
228,G8 III           
229,K1 III          
232,K0/1 (III)        
233,F5 V              
234,G8                
235,A1 V              
239,G1/3 (V)          
240,K0/1  II/III      
241,F3 V              
242,G6 V              
243,F3 V              
244,K3 III           
252,K5 III            
253,G3 V              
254,F8/G2             
255,A0 V              
256,A2 IV/V           
257,K1 III            
258,F5 V              
259,F8/G0 V          
260,A9 V            
266,G5 III            
267,A5/7MA7-F2        
268,F5 V              
269,K1/2 III          
270,K0 V             
271,F5/6 V           
272,F7/G0 (V)        
273,K5 III          
274,F3 IV           
275,K3 III          
276,F2 V            
283,K0 V              
284,K2 III           
285,F5 IV/V         
286,G8/K0 III       
293,M3 III            
294,A0/1 IV           
295,K1 (III)          
296,G8 V              
297,F0/2 V          
303,K0 III            
304,G5 V              
305,K0 III            
306,A0 V              
307,F8/G0 V          
308,G8 (IV) + F/G    
309,F7 V            
310,M1 III          
311,F8 V            
312,G8 III          
314,F6 V              
315,Ap Si             
316,G5 V              
317,K0 III            
318,K0 III            
319,A1 V              
320,G8/K0 IV          
321,K2 III           
322,M2 (III)        
323,K1/2 III        
324,G3 III          
325,A0 V            
328,A3 II             
329,K0 III/IV         
334,F5/6  V           
335,F3 (IV)           
336,G2/5 (V) + G0/3   
337,K1 IV             
338,G8 IV            
339,G6 V             
340,K0/1 III         
342,K0 III            
343,A8/9 V            
344,K1 III            
345,F3/5 V           
346,K0 III           
352,K2 IIICNIVp       
353,G5 V              
354,G0 V              
355,G8/K0 (III)     
359,K1 III            
360,K1 II             
361,G2/3 V            
362,K0/1 V            
363,K0 III            
364,K1 III            
365,F5 V             
366,K2 III          
367,K1 IIICNII      
368,K3 III          
369,A3 V            
378,G8 (IV)           
379,F0 V              
380,K1 IV             
381,G8/K1 (III)       
382,G8/K0 V           
383,K0 V             
384,K2 III          
385,B9 IV           
390,G6 V              
391,M0 III            
392,F3/5 V            
393,M3 III            
394,F8/G III/IV + F   
395,A2 IV/V          
396,F2 V             
397,K0 III          
398,K1 III          
401,G(6) (IV)         
402,M0/1 IIICNVP      
403,G3/5 IV/V       
406,K0 III            
407,G5 V              
408,K1 IV             
409,M4E               
410,G6/8            
411,G2 IV           
419,K1/2 (III)        
420,K0 III            
421,K3/4              
422,K2/3 III          
423,A9 V              
424,G6 V              
425,G8 IV             
426,G5 V              
427,F3 V              
428,F3 V              
429,F2 III/IV        
430,F0/2            
436,A5/7 II           
437,M2 III            
438,K1 III            
439,F5 IV            
440,G8 III/IV        
441,K0 III          
442,K3 III          
450,F6 V              
451,K1 III            
452,K0 III            
453,G2 V              
454,K1 III            
455,F5 V              
456,K0 III            
457,G0 V             
458,F5 V            
459,G2/3 V          
464,F6 V              
465,A9 V              
466,F3 IV/V           
467,G0/3             
468,F5/6 V          
469,G8 III + A/F    
472,G5 V              
473,F3/5 V            
474,G6 V              
475,K2 III            
476,K1 III/IV         
477,G3 V              
478,F8/G1 V(P)       
479,K0/2             
480,B5 V             
481,K3 III           
482,G8 V            
484,F5 V              
485,A5/8 III/IV     
490,A1 V              
491,K1/2  III         
492,F3/5 V            
493,F3 V              
494,G8/K0 V          
495,F6 V             
496,K0 III           
497,G8 III          
498,K1 III          
503,F0 V              
504,F6/7 V            
505,K2/3 III          
506,F2 IV             
510,K1 III            
511,F5 V              
512,G3 V              
513,K1 III           
514,G2/3 V           
518,F2 V              
519,G8 III            
520,K1/2 V            
521,K2/3              
522,G8/K0 III         
523,F5/6 V           
524,F0 V             
525,K1 III          
526,G8 III          
532,F6/7 V            
533,K0 IV             
534,G6 V              
535,A5 II/III         
536,F3/5 V            
537,G8 III          
538,M2 III          
539,G2 V            
543,K0 III            
544,K1/2 III          
545,K5/M0 III         
546,K1 V              
547,G3 V             
548,K0 IVCNIII       
549,F7 V             
550,K2/3 (III)      
561,F3 IV             
562,A2 V              
563,K1 II            
564,G2/3 V           
565,A6 V            
566,K1/2 (III)      
568,F0 V              
569,K0 III          
574,F5 V              
575,F7 V              
576,G8 V              
577,F5 V             
578,F3 V            
579,G1/3 (V)        
580,F0/2 V          
581,K1 IV/V         
582,G2 V            
586,G6 V              
587,K0 III            
588,G6/8 III/IV       
589,G6 V              
590,F2 V              
591,M1 (III)        
592,G8 III/IV       
600,K0 IV             
601,F3/5              
602,F7 V              
603,G2 V              
604,F7 V              
605,F(5)              
606,F3 V              
607,G8/K1 (III)     
608,K0 III          
609,F5 IV/V         
610,F5 V            
616,F6/7 V            
617,K2 III            
618,K0 III            
619,K2 (III)          
620,F5 V             
621,F3/5 V           
622,K0/2 (III)      
623,F5 V            
624,F2/3 V          
625,G8/K1 III       
626,K3 III          
632,K2 IIICNII        
633,F(6) V            
634,G8 III/IV         
635,F2 V            
636,K1/2 III        
643,G8/K0 (IV)        
644,G2 V              
645,K0 III            
646,K1 III            
647,K0 III           
648,G8 V             
649,F2 V            
654,K1 III            
655,K0 III            
656,K0 III            
657,G2 V              
658,K1 III           
659,G3 V            
660,F7 IV           
661,A/F             
662,F3/5 IV         
665,K0 III            
666,K1/2 III          
667,F6/7 V            
668,G0 V            
672,M3 III            
673,K1 III           
674,A4/5 V          
675,F5/7 IV/V       
676,A3 V            
677,F5 IV           
680,G8/K0 III         
681,F5 V              
682,G8 IVCNIII        
686,G8 (III)          
687,F5/8              
688,K0 II/III         
689,K1 V              
692,K1 (III)          
693,F5 V              
694,F7 V              
695,K2 III            
701,K1/2 III          
702,F6/8 V            
703,K0/1 III          
704,A3 V              
705,G6 V              
706,K0 III/IV        
707,G6 III          
708,A2 V            
715,F8/G0 V           
716,K0 III            
717,F6/7  V           
718,F3 V              
719,A8 IV(M)          
720,K2 III            
721,G3/5 V           
722,A3/5 III         
723,G5 III/IV       
728,Fm delta DEL      
729,K0 III            
730,K0 IV             
731,K0 III            
732,F7 V              
733,K2 III            
734,G6/8 V           
735,K3/5            
738,F7 V              
739,F3/5 V            
740,F3 V            
741,G3 V            
742,M1 (III)        
746,G2/3 V            
747,G3 V              
748,G1 V              
749,K0P BA           
750,K1 V            
751,F6 V            
752,F5/7 (V)        
757,K1 III            
758,G3/5 V            
759,G5 V              
760,F7/8 V          
766,F0 V              
767,G5 V              
768,F2 V              
769,G3 V              
770,K0 III           
771,M2 (III)         
772,K0 III          
773,F2 V            
777,F7 V              
778,F5 V              
779,K2 III            
780,K0 III            
781,F5 V              
782,G0/2 V           
783,G8 III          
785,Mb                
786,K0 III/IV         
787,K4 III            
788,F2/3             
789,K2 III          
790,M1 III          
791,G5 IV/V         
792,F5 (V)          
793,K4 III          
796,F2 V              
797,G5 V              
798,F5 V              
799,F3 V              
805,G8 IV             
806,G8 IV             
807,K1/2 III          
808,K2 III           
812,K0 V + G          
813,G8/K0 IV         
814,G3/5 V          
820,K0 III            
821,F0 V              
822,A1 V              
823,G8/K0 V           
824,F3 V              
825,F3 V            
833,K2 III/IV         
834,K1 IV             
835,K1 III            
836,F8 IV/V           
837,K1/3             
838,K0 III           
839,F6 V            
840,A7 V            
844,G5 V              
845,K0 III           
846,K2/3 (III)       
847,M2/3            
853,M2 III            
854,K0 III            
855,K5 III            
856,G3/5 V            
857,F7/8 V           
858,F8 V            
859,G6 III          
860,G8 II/IV        
866,F7 V              
867,F5 V              
868,K1 IIICNIVW       
869,K2/4 (III)       
870,K0 V            
875,F7 V              
876,G8/K0 III/IV      
877,G8/K0 III         
878,G0 V              
879,K2/3 III         
880,A9/F0 V          
881,K0              
882,G8/K0 (III)     
887,K2/3 (III)        
888,K0 III            
889,G0 V              
890,K1/2 III          
891,K2 III            
892,G8 III            
893,K1/2 III        
897,G3/5 V            
898,F5 V              
899,F5 IV/V           
900,F2 V              
901,K1/2 III          
902,K3/4 III          
903,F5 IV            
908,K1/2 III          
909,K1 III            
910,K2 III          
911,F8/G0 V         
917,K0/2 (III)        
918,K0/2            
922,F8/G1             
923,A5 IV             
924,K1 V             
925,F7/G0 (V)        
926,K0 III          
927,A3/5 II/III     
933,F0 V             
934,F3/5 IV/V       
935,K2 III          
940,K1 II/III         
941,K1 IIICNIV        
942,K5 III            
943,K4 III            
944,F7 V             
945,K0 III          
953,K2 III            
954,F6/7 V            
955,B3/5 V            
956,K2 III           
957,A5 IV            
958,K0 III           
959,F3 V            
960,K3 III          
964,F5 V              
965,Ap SrEuCr         
966,G8 III            
967,G6wF7             
968,G5 V            
969,F8 + A/F2       
970,F5/6 V          
971,K3 (III)        
978,G1 V            
979,G1 IV/V         
980,F6 V            
981,K0/2            
983,K0/1 (III)        
984,F7 V              
985,G8 (III)         
986,G8 III/IV        
987,G6 V            
988,A9 V              
989,K1 IIICNII        
990,F5 V              
991,G8 III            
998,F5 V              
999,K2/3 III          
1000,F7 V              
1001,F3/5 V            
1002,G5 V              
1003,K1 III           
1004,F5 IV/V         
1005,K0 III          
1014,M1/2  III         
1015,F5 V              
1016,G8/K0 III         
1017,A9 V              
1018,G1/2 V            
1019,K0/1 V(CNIII)     
1020,K2 III           
1021,K0 III           
1022,M1 III          
1023,A7 IV           
1024,F3 V            
1025,K2 III          
1030,G8 III            
1031,F5/6  V           
1032,M0/1 III        
1034,G5 V              
1035,G3 V              
1036,K0 IV             
1037,G8 III/IV         
1038,M1 III            
1039,F6 V              
1040,G3 V             
1041,M1 III           
1042,K0 III           
1043,F3 IV/V         
1049,F3 V              
1050,A9 IV/V           
1051,A7 III            
1052,F3/5 V            
1053,K2/3 III          
1054,K0 III           
1055,K3 III           
1056,G2/3 V           
1062,G8 III            
1063,M0 III            
1064,B8 V              
1065,F2 V              
1066,K2 III           
1067,K1/2 II/III     
1077,F3 V              
1078,F3 V              
1085,G8 V              
1086,A2 III            
1087,K1 IV             
1088,G0 V              
1089,K3 III            
1090,K4 III            
1091,F7/G0           
1096,G2 V              
1097,A3/5MF0-F5        
1100,K0 III            
1101,F3 IV             
1102,K0 III            
1103,K2/3 III          
1104,F3/5 V            
1105,K0 III            
1106,F7/8 (V)         
1107,K0 III           
1108,G6 V            
1111,F6 V              
1112,B9 V              
1113,G0 V              
1114,A8 V              
1115,M7/8 IIIE         
1116,G8/K1 III        
1117,F2 V             
1118,F6 V             
1123,G3/5 V            
1124,F5 V              
1125,G6 III/IVW        
1126,M1 III          
1127,G8/K0 (III)     
1134,K1 III/IV         
1135,G8 IV/V           
1136,G1 V              
1137,F5 IV/V           
1138,K1/2 III         
1139,F7 V             
1140,G5 IV/V         
1146,K0 III            
1147,F6/7  V           
1148,K0 III            
1151,A9 IV/V           
1152,G2/3 V            
1153,G8 III/IV         
1154,A0 V              
1155,K2 IIICNIB/II     
1156,F5/6 V            
1157,K2 IIICNIB/II    
1160,A0 V              
1161,F7 V              
1162,G1 V              
1163,G8 IV/V           
1164,K2/3 (III)      
1170,G0 V              
1171,G8 V              
1172,G0 V            
1173,G8/K1           
1174,K1/2 III        
1175,F5 IV/V         
1181,G8/K0 IV          
1182,G8/K0 III        
1183,F6 IV           
1184,F7 V            
1187,K2 III            
1188,K2 III            
1189,M0 III           
1190,K2 III          
1191,F8/G2           
1194,F6/7 V            
1195,F6 V              
1196,G5 V              
1197,K1/2 (III)       
1198,M4 III           
1199,A5 IV           
1200,M2/3            
1203,F3 V              
1204,G3 V              
1205,G3 V              
1206,G5/8              
1207,G8/K0 V           
1208,M0 III          
1209,F7 V            
1214,G6 V              
1215,F8/G2             
1216,G1/2 V            
1217,G8 IV             
1218,K1 III/IV        
1219,K1 IV            
1220,F3/6 IV/V + A/F 
1221,G8/K0 III       
1228,M4 III            
1229,F8 V              
1230,G3/5 V            
1231,A8 V              
1232,F3 V              
1233,K0 III            
1234,F3 V              
1235,K2 III           
1236,F6 V            
1237,G6 V            
1244,F5/7 V            
1245,G0/2              
1246,K4 III            
1247,F3 V              
1248,F3/5 V           
1249,F5 V             
1250,G8 III          
1251,F8 V            
1256,B6 III/IV         
1257,F7 V              
1258,K3 III            
1259,K0 III            
1260,K2 III          
1261,F0 V            
1266,A2 III/IV         
1267,G2 V              
1268,A9 V              
1269,G1 V(W)           
1270,F5 V             
1271,F5 V             
1272,F3 V             
1273,G2 V            
1274,G5 V            
1275,K2 III          
1284,K0 III            
1285,F3 IV/V           
1286,F3 V             
1292,M1/2              
1293,G6 V              
1294,F3 V              
1295,G8 III/IV         
1296,K0 III/IV         
1297,G0               
1298,K1 III          
1299,F5 V            
1301,K0 III            
1302,B8/9 V            
1303,F8 V              
1304,K0/1 III        
1310,K0 III            
1311,G2/3 V            
1312,K1 III            
1313,F6/7 V            
1319,G5/6 (V)          
1320,G5 V             
1321,F2 V             
1322,G8/K0 (III)      
1323,F5 V            
1324,F5 V            
1328,G8 III/IV         
1329,F8 V              
1330,G1 V              
1331,K2 III            
1332,F7 V             
1333,F3 IV/V         
1342,F6/7 V            
1343,F3 V              
1344,G0 V              
1345,G8/K0 III        
1346,K0/1 (IV/V)      
1347,G6/8             
1348,B9.5 IV         
1353,G0/2              
1354,F7 V              
1355,K1 II/III         
1356,A1/2 + F/G       
1357,G2/3 V           
1358,F6 V            
1366,G8/K0 (III)       
1367,K0 III            
1368,G2 V              
1369,G8/K0 III         
1370,K1 IIICNIb/II     
1371,K0 III          
1372,F3/5 (+ A)      
1373,K0 III          
1377,G8 III/IV         
1378,K3 III            
1379,K2/4 (V)         
1380,K3 III/V         
1381,G2/3 V           
1382,A8 IV           
1385,K0 III            
1386,G2 V              
1387,G0 V              
1388,G2 V              
1389,K0 III            
1390,F5 V            
1391,G0 IV           
1393,F0 V              
1394,G8/K1             
1395,K1 III            
1396,K3 III            
1397,G5 III/IV       
1398,F5 V            
1399,K0              
1408,G2 V              
1409,F8/G0 V           
1410,K2/3 (III)       
1411,F3 V             
1412,G3/5 V           
1413,G8 IV            
1414,K1 III          
1415,G5 V            
1420,A9 V              
1421,K2 III            
1422,K1                
1423,G8/K0 III        
1424,G5 V            
1425,F3 IV/V         
1431,B9/9.5 IV         
1432,F5 V              
1433,F3 V              
1434,K2 III            
1435,G8(W)            
1436,F5 V             
1437,K0 III          
1442,F5/7              
1443,G5/8              
1444,K2 III           
1445,K2 III/IV       
1446,F6 V            
1451,K3 III            
1452,F6 V             
1453,G6 III          
1454,G8/K0 IV/V      
1455,F8 V            
1460,K1 V              
1461,G5 V              
1462,G8 (IV)           
1463,F2 IV/V           
1464,F5 V             
1465,A0 V            
1466,F8/G0 V         
1471,G0 V              
1472,F7 V              
1473,F0/2 V            
1474,G0 V              
1475,K0 III           
1476,G5/K3 (III) + A/F
1477,F3/5 IV/V       
1481,G5/6 (V)          
1482,F3/5 V           
1483,K2 III           
1484,F3 V            
1485,F7 IV           
1490,K2/3 III          
1491,F3 V              
1492,A8 III            
1493,F5/6 V            
1494,G5 V             
1495,K4/5 III        
1498,F3 V              
1499,A2 III/IV(M)    
1503,F3/5 V            
1504,G8 III            
1505,G5 V            
1506,K0 III          
1507,A9 IV/V         
1508,K0/2 (III)      
1512,K2/3 III          
1513,F0/2 V            
1514,G8/K0 V           
1515,G0 V              
1516,G8 IVCNIII       
1517,K2/3 III        
1522,K1 II + (K)       
1523,G5 IV             
1524,F5 V              
